,caso,fecha,informacion,link,localidad,partido,provincia
142,143,2011 Marzo,La Junta falsea el curriculum de un alto cargo.,http://noticiasdealmeria.com/noticia/53782/ANDALUCÍA/junta-falsea-curriculum-alto-cargo.html,Almeria,PSOE,Almeria
143,144,2009 Junio,La Audiencia salmantina condena al ex tesorero a 3 años de cárcel y cinco de inhabilitación absoluta por apropiarse de algo más de 93.000 euros.,http://www.tribuna.net/noticia/43727/PROVINCIA/audiencia-condena-anos-carcel-ex-tesorero-municipal.html,Peñaranda de Bracamonte,PSOE,Salamanca
144,145,2011,"La socialista Eider Gardiazábal Rubial, entre las decenas de parlamentarios denunciados por fichar en Bruselas o Estrasburgo para cobrar 300 € en dietas y, acto seguido, salir hacia el aeropuerto [35]",http://www.abc.es/20110309/internacional/abci-eurodiputados-dietas-201103090745.html,Bruselas 2011,Eurodiputada socialista y otros,"Bruselas, Parlamento Europeo"
145,146,2011,"Imputado José Manuel Tortosa Ruiz, ex alcalde de Las Pedroñeras y actual diputado regional por presuntos delitos de prevaricación y tráfico de influencias. El día 6 de abril está citado a declarar junto con el ex concejal Inocente García Iniesta y el ex arquitecto municipal Rodolfo Jareño.",http://eldiadigital.es/not/15359/tortosa_declarara_como_imputado_en_una_presunta_prevaricacion/,Las Pedroñeras,PP,Cuenca
146,147,2011,Imputado por presunta prevaricación administrativa el ex alcalde Víctor García Galán.,http://www.abc.es/20110213/toledo/abcp-imputado-prevaricacion-exalcalde-santa-20110213.html,Santa Ana de Pusa,PSOE,Toledo
147,148,2011," Imputado el alcalde Javier Fernández de los Ríos Torres por incumplimiento de un fallo judicial
 Archivan la causa del sindicato de policías locales contra el alcalde de La Rinconada",http://www.20minutos.es/noticia/954825/0/,La Rinconada,PSOE,Sevilla
148,149,2011,"Imputado el alcalde Juan Siguero por negociaciones prohibidas, prevaricación, tráfico de influencias.
Juan Siguero ocupó el puesto de alcalde sustituyendo a Arturo González Panero, también imputado en Gürtel.",http://www.madridiario.es/2011/Febrero/municipio/boadilla/198489/guertel-alcalde-boadilla-siguero-prevaricarion.html,Boadilla del Monte,PP,Madrid
149,150,2011,"Imputados el alcalde Antonio Casimiro y los concejales Santiago Navarro, Antonio Soria y Manuel Ortega por prevaricación.",http://www.infoalcores.es/noticias/mairena-alcor/tribunales/71013/el-juez-cita-imputado-al-alcalde-mairena-alcor-acusado-preva,Mairena del Alcor,PSOE,Sevilla
150,151,2011,"Imputado por coacciones Fernando Giner, alcalde de Vallada, ex presidente de Diputación de Valencia, y diputado autonómico.",http://www.elpais.com/articulo/Comunidad/Valenciana/alcalde/Vallada/PP/imputado/delito/coacciones/elpepiespval/20110305elpval_6/Tes,Vallada,PP,Valencia
151,152,2011,"La fiscalía pide 10 años de prisión y 7 de inhabilitación para el ex alcalde y diputado provincial Francisco Javier Maldonado. También está imputado el actual alcalde Pedro Clavero (PSOE)
En las próximas elecciones, tanto el candidato por el PP como el del PSOE están imputados.[36]",http://www.granadahoy.com/article/granada/885995/ex/alcalde/gojar/se/sentara/banquillo/acusado/tres/delitos.html,Gójar,PP-PSOE,Granada
152,153,2011,"Imputado Antonio de la Torre, por donativo ilegal al PP",http://www.latribunadeciudadreal.es/noticia.cfm/Provincia/20110204/juzgado/imputa/antonio/torre/donativo/ilegal/pp/4717B12C-9AC0-6856-99548E032D0DDB53,Valdepeñas,PP,Ciudad Real
153,154,2011,"Imputados por permitir obras ilegales los tres últimos alcaldes: Vicent Aparici (PP), Josep Tur (PSOE) e Isabel Bonig (PP)",http://www.elpais.com/articulo/Comunidad/Valenciana/justicia/imputa/ultimos/alcaldes/Vall/d/Uixo/elpepiespval/20110201elpval_4/Tes,La Vall d'Uixó,PP-PSOE,Castellón
154,155,2011," García de Balaguer, expresidente del comité electoral, está siendo investigado por la implicación en la desaparición de recién nacidos en la provincia de Cádiz durante los años 60 y 70[[37]][[38]]",http://www.andaluciainformacion.es/portada/?i=1&a=169165&f=0,La Linea de la Concepción,PP,Cadiz
155,156,2011,Imputado el ex alcalde Juan Antonio Zambrano por un posible fraude de subvenciones.,http://www.abcdesevilla.es/20110317/provincia/sevi-imputado-alcalde-marchena-posible-201103171429.html,Marchena,PSOE,Sevilla
156,157,2010,"Imputado el alcalde Ignacio García de Vinuesa por prevaricación, malversación de fondos y negociaciones prohibidas a funcionarios.
García de Vinuesa vuelve a ser el candidato en las próximas elecciones [39]",http://www.elpais.com/articulo/madrid/alcalde/Alcobendas/imputado/delitos/elpepiespmad/20101109elpmad_1/Tes,Alcobendas,PP,Madrid
157,158,2011,Citado a declarar como imputado el alcalde Manuel Morilla por el caso de los funcionarios.,http://www.periodistadigital.com/politica/justicia/2011/03/10/citado-a-declarar-este-jueves-como-imputado-el-alcalde-de-moron-de-la-frontera-sevilla-por-el-caso-de-los-funcionarios.shtml,Morón de la Frontera,PP,Sevilla
158,159,2010,Imputado el alcalde Moisés Coromina por falsificar documentos públicos.,http://www.elconfidencialautonomico.com/baja/moises-coromina-alcalde-de-castellfollit-de-la-roca-gerona-que-ha-sido-imputado-por-falsificar-documentos-publicos/,Castellfollit de la Roca,CiU,Gerona
159,160,2010,Imputado el ex alcalde Juan Cano por tráfico de influencias.,http://www.diarioinformacion.com/benidorm/2010/12/01/juez-imputa-juan-cano-trafico-influencias/1070802.html,Polop de la Marina,PP,Alicante
160,161,2010,"el ex alcalde Juan José Dorta, imputado por prevaricación.",http://www.laopinion.es/tenerife/2010/03/16/ex-alcalde-juan-jose-dorta-imputado-prevaricacion/276638.html,Icod de los Vinos (Tenerife),PSOE,Santa Cruz de Tenerife
161,162,2010,Imputado el alcalde José Vicente Franco por prevaricación.,http://ecodiario.eleconomista.es/espana/noticias/1988654/03/10/Citado-a-declarar-como-imputado-el-alcalde-de-Coria-por-supuesta-prevaricacion-en-una-licencia.html,Coria del Rio,PSOE,Sevilla
162,163,2010,Imputado el alcalde David Valadez por delito societario y falsedad.,http://www.ymalaga.com/calle/tribunales/andalucia-malaga-tribunales-el-alcalde-de-estepona-ha-sido-imputado.53550.html,Estepona,PSOE,Málaga
163,164,2010,Imputado el alcalde Jaime David Corregidor por delito contra la ordenación del territorio.,http://www.adn.es/politica/20100917/NWS-0970-Navalcan-Citan-licencia-imputado-declarar.html,Navalcán,PSOE,Toledo
164,165,2011,"Imputado el ex alcalde Ramón Rocha por prevaricación, tráfico de influencias, fraude y delito contra los derechos cívicos.",http://digitalextremadura.com/not/6290/el_ex_alcalde_de_olivenza_ramon_rocha_y_un_director_general_de_la_junta_imputados_en_el_caso_lusografica/,Olivenza,PSOE,Badajoz
165,166,2011,"Imputado el ex alcalde Juan Morales por ocho delitos, entre los que se encuentran prevaricación y cohecho.",http://www.noticias.com/tsj-imputa-ocho-delitos-al-ex-alcalde-de-totana-murcia-juan-morales.904988,Totana,PP,Murcia
166,167,2011,"El alcalde Julio Álvarez, declarado culpable de malversación de fondos públicos. La fiscalía pide tres años y medio de cárcel.",http://www.20minutos.es/noticia/993635/0/malversacion/alcalde/Puebla-Rio/,Puebla del Río,PSOE,Sevilla
167,168,2011,"Dimite el alcalde Santiago Martín, imputado por prevaricación.",http://www.lagacetadesalamanca.es/provincia/2011/01/08/dimite-alcalde-alberca-imputado-presunto-delito-prevaricacion/18262.html,La Alberca,PP,Salamanca
168,169,2010,"El alcalde y Senador Juan Pablo Sánchez Sánchez-Seco, imputado por prevaricación urbanística.",http://www.dclm.es/news/161/ARTICLE/84896/2010-12-21.html,Pastrana,PP,Guadalajara
169,170,2011,El alcalde Eduardo del Valle imputado por prevaricación.,http://www.miciudadreal.es/provincia/bolanos-de-calatrava/82802-el-alcalde-de-bolanos-tendra-que-comparecer-como-imputado-por-un-presunto-delito-de-prevaricacion.html,Bolaños,PSOE,Ciudad Real
170,171,2010,"Imputado el alcalde Gonzalo Aguado, sucesor del también imputado Jesús Sepúlveda.",http://www.publico.es/espana/344144/imputado-por-corrupcion-otro-alcalde-del-pp-de-aguirre,Pozuelo de Alarcón,PP,Madrid
171,172,2011,Suspendida por segunda vez la declaración como imputado por falsedad documental y malversación de fondos del ex alcalde José Luis Vidal,http://www.20minutos.es/noticia/933116/0/,Almadén de la Plata,PP,Sevilla
172,173,2011,El alcalde Ángel Vadillo se presenta a la reelección pese a estar imputado por amenazas y obstrucción a la justicia.,http://www.elperiodicoextremadura.com/noticias/noticia.asp?pkid=562010&page=2,Alburquerque,PSOE,Badajoz
173,174,2011,"La actual alcaldesa, imputada por prevaricación, tráfico de influencias y fraude, se presenta a la reelección.",http://www.elperiodicoextremadura.com/noticias/noticia.asp?pkid=562010&page=2,Moraleja,PSOE,Cáceres
174,175,2011,"39 nuevos imputados en el ""caso Brugal"", entre ellas la práctica totalidad de la cúpula del PP de Orihuela.",http://www.elpais.com/articulo/espana/juez/imputa/cupula/PP/Orihuela/caso/Brugal/elpepiesp/20100817elpepinac_2/Tes,Orihuela,PP,Alicante
175,176,2010,Imputado el alcalde José Justo Álvarez Tinaut por delito urbanístico.,http://www.diariojaen.es/index.php/menuprovincia/58-notprovinciales/25417-el-alcalde-de-castillo-de-locubin-imputado-por-un-delito-urbanistico,Castillo de Locubín,PP,Jaén
176,177,2010,"Detenidos por prevaricación, cohecho y tráfico de influencias  Ernesto José Silva, alcalde de Villanueva, José Antonio Conejo, ex alcalde ; Gabriel Liévana, arquitecto, que trabajó en el Ayuntamiento de Villanueva y en la actualidad realiza tareas de aparejador en el Ayuntamiento de Antequera, y Juan Francisco Hurtado, profesor de Derecho Administrativo de la Universidad de Málaga[40]",http://www.publico.es/espana/326984/detenido-el-alcalde-de-villanueva-de-la-concepcion,Villanueva de la Concepción,PSOE,Málaga
177,178,2010,"Francisco Javier Iglesias 15 años de Alcalde de Ciudad Rodrigo, presidente del PP Salamantino ex –Diputado y ex - Senador , requerido por Hacienda para que regularizara su patrimonio Inmobiliario. Fuentes: [41], [42], [43], [44].",http://www.interviu.es/reportajes/articulos/ciudad-rodrigo-el-alcalde-tenia-un-plan,Ciudad Rodrigo,PP,Salamanca
178,179,2011,"El candidato por el PP a la alcaldía de Las Rozas, Ignacio Fernández Rubio, está imputado por un delito contra la ordenación del territorio cuando era alcalde de Guadarrama.",http://www.elpais.com/articulo/madrid/PP/designa/Rozas/imputado/delito/urbanistico/elpepiespmad/20110224elpmad_3/Tes,Las Rozas/Guadarrama,PP,Madrid
179,180,2010,Imputados por prevaricación el alcalde José María Fraile y el concejal Mariano Sánchez.,http://estrellamizar.wordpress.com/2010/09/28/el-alcalde-de-parla-se-sienta-en-el-banquillo-como-imputado-por-prevaricacion-administrativa/,Parla,PSOE,Madrid
180,181,2011,Imputado por prevaricación el ex alcalde Jesús Lanchas.,http://www.nortecastilla.es/v/20110323/salamanca/imputado-prevaricacion-exalcalde-fuentes-20110323.html,Fuentes de Oñoro,PP,Salamanca
181,182,2011, La Fiscalía ve indicios de delito en la adjudicación de obras en Monóvar,http://www.lasprovincias.es/v/20110327/alicante/fiscalia-indicios-delito-adjudicacion-20110327.html,Monovar,"PP, GIM, Bloc Progesista",Alicante
182,183,2000 - 2011," Desalojados los áticos ilegales autorizados por el alcalde de Valladolid en la casa donde vive
 El alcalde de Valladolid desautoriza al Tribunal que exige regularizar las obras de su casa",http://www.elpais.com/articulo/espana/Desalojados/aticos/ilegales/autorizados/alcalde/Valladolid/casa/vive/elpepiesp/20101027elpepinac_8/Tes,Valladolid,PP,Valladolid
183,184,2000,La adjudicación a Iberpistas fue ilegal (A-6 Tramos de pago Ávila y Segovia durante la alcaldía de Ángel Acebes).,http://www.nodo50.org/sierraoestedesarrollosostenible/spip.php?article156,Ávila,"PP,",Ávila
184,185,"1993, 2010","El Tribunal Supremo inhabilita al alcalde de Pinto durante seis años por prevaricación: terrenos pinteños fueron cedidos gratuitamente a Fuenlabrada, sin ningún tipo de contraprestación, por Carlos Penit (IU). No se coloca en el mapa por ser un caso antiguo
La ex alcaldesa del PP de Pinto, Miriam Rabaneda, imputada por prevaricación.
En las próximas elecciones, Miriam Rabaneda vuelve a ser candidata [45]",http://www.elpais.com/articulo/madrid/MADRID/PINTO_/MADRID/MADRID/ESPANA/IZQUIERDA_UNIDA_/IU/TRIBUNAL_SUPREMO/Tribunal/Supremo/inhabilita/alcalde/Pinto/durante/anos/prevaricacion/elpepiautmad/19931130elpmad_38/Tes,Madrid,"IU, PP",Pinto
185,186,2005-2011,"Uno de los acusados en el caso Malaya y al que el Ayuntamiento de la capital cordobesa ha impuesto una multa de 24,6 millones de euros por levantar sin licencia las llamadas naves de Colecor. [46]",http://urbanismopatasarriba.blogspot.com/2010/12/el-constructor-rafael-gomez-acusado-en.html,Córdoba,UC(Unión Cordobesa),Córdoba
186,187,2011 Febrero,Detenidos por corrupción tres alcaldes de la Costa da Morte,http://www.elmundo.es/elmundo/2011/01/31/galicia/1296470606.html,Finisterre,PP,La Coruña
187,188,2011 Febrero,Detenidos por corrupción tres alcaldes de la Costa da Morte,http://www.elmundo.es/elmundo/2011/01/31/galicia/1296470606.html,Mazaricos,PP,La Coruña
188,189,2011 Febrero,Detenidos por corrupción tres alcaldes de la Costa da Morte,http://www.elmundo.es/elmundo/2011/01/31/galicia/1296470606.html,Cee,PSdG-PSOE,La Coruña
189,190,2011 Marzo,El delegado de Empleo dio ayudas de 465.725 euros a uno de sus socios,http://www.abcdesevilla.es/20110312/andalucia/sevi-delegado-empleo-ayudas-euros-201103112202.html,Pozoblanco,PSOE,Córdoba
190,191,2010 Marzo,IU Sevilla concede subvenciones a diversas organizaciones comunistas en Iberoamércia sin presentar las correspondientes justificaciones y sin que éstas lleguen a sus lugares de destino.,http://diariodelostrabajadores.over-blog.es/ext/http://www.libertaddigital.com/sociedad/iu-en-sevilla-sigue-sin-justificar-las-ayudas-a-organizaciones-comunistas-extranjeras-1276388034/,Sevilla,IU,Sevilla
191,192,2010 Noviembre,El ex-alcalde de La Algaba (Sevilla) exige sobornos a determinados promotores urbanísticos.,http://www.psoealgaba.es/publicaciones/noticias-de-prensa/item/648-psoe-a-pide-tolerancia-cero-a-iu-contra-la-corrupci%C3%B3n-ante-denuncia-de-la-fiscal%C3%ADa-a-ex-alcalde-de-la-algaba,La Algaba,IU,Sevilla
192,193,2011 Enero,En trámite un proceso por 7 supuestas facturas falsas por valor de 92000 € firmadas por el ex-alcalde de El Coronil.,http://coronil.foroactivo.eu/t1752-mas-corrupcion-en-iu-igual-que-el-nunez-aquiel-ex-alcalde-de-iu-rechaza-que-emitiera-facturas-falsas-durante-la-mocion,El Coronil,IU,Sevilla
193,194,2010 Julio,"Ayuntamiento contrata a ""empresa amiga"" un proyecto por valor de 300000€ que nunca se llega a ejecutar.",http://santiagodemunck.blogspot.com/2010/07/el-rivas-centro-monumento-la-corrupcion.html,Rivas,IU,Madrid
194,195,2005 Junio,Ayuntamiento de Orcoyen cede la gestión del urbanismo a empresa sin mediar concurso.,http://www.noticiasdenavarra.com/foro/viewtopic.php?f=2&t=16273,Navarra,IU,Orcoyen
195,196,2011 Marzo,"Detenidos por corrupción el ex alcalde de Ciutadella, Llorenç Brondo, y los ex tenientes de alcalde de Urbanismo, Avel.lí Casasnovas, y Turismo, Gabriel Cardona.",http://www.abc.es/20110329/local-baleares/abci-registro-baleares-201103291012.html,Ciutadella,PP,Menorca
196,197,2011 Marzo,"El Supremo investiga la gestión de EB por un ""agujero patrimonial"" de 14 millones 
Denuncian a dos excargos de Madrazo por desviar fondos públicos para una película",http://www.diariovasco.com/v/20110404/al-dia-sociedad/supremo-investiga-gestion-agujero-20110404.html,Vitoria,IU (EB),Alava
197,198,2010,Condenado a ocho años y medio de inhabilitación el alcalde Alberto Pardellas por prevaricación.,http://www.elpais.com/articulo/Galicia/Condenado/prevaricador/alcalde/Melon/elpepuespgal/20101120elpgal_5/Tes,Melón,PP,Orense
198,199,2007,"El ex delegado del Gobierno, Vicente Moro, condenado a 4 años de prisión y 12 de inhabilitación por delito continuado de calumnia con publicidad, prevaricación, delito continuado de revelación de secretos, y delito contra la independencia judicial.",http://www.adn.es/politica/20070927/NWS-1909-Ceuta-inhabilitacion-delegado-PP.html,Ceuta,PP,Ceuta
199,200,2006,Condenado a 7 años de inhabilitación por prevaricación el alcalde Antonio Feliciano Fernández Rocha,http://www.farodevigo.es/galicia/2551/alcalde-tui-condenado-7-anos-inhabilitacion/48591.html,Tui,PP,Pontevedra
200,201,2010,"Condenado a seis meses de inhabilitación el alcalde Manuel Vallejo por no perseguir viviendas ilegales.
Manuel Vallejo, pese a estar condenado a seis años de inhabilitación, vuelve a ser candidato en las próximas elecciones.[47]",http://www.elpais.com/articulo/espana/Condenado/meses/inhabilitacion/alcalde/Quesada/perseguir/viviendas/ilegales/elpepuesp/20101015elpepunac_14/Tes,Quesada,PSOE,Jaén
201,202,2010,Condenado a 3 años de inhabilitación y multa de 9.000€ el alcalde Juan Antonio Teresa por un delito de coacciones.,http://www.diariodesevillalanueva.es/content/view/3642/437/,Sevilla la Nueva,PP,Madrid
202,203,2007,Condenado a 7 años de inhabilitación el alcalde José Rafael Reyes por prevaricación.,http://www.lavozdigital.es/cadiz/prensa/20070123/temas/alcalde-benaocaz-condenado-siete_20070123.html,Benaocaz,PSOE,Cádiz
203,204,2005,Condenado a 9 años de inhabilitación el ex alcalde Ángel Suárez Orozco por prevaricación. No se marca en el mapa por ser un caso antiguo.,http://www.abc.es/hemeroteca/historico-22-03-2005/abc/Toledo/condenado-a-nueve-a%C3%B1os-de-inhabilitacion-de-cargo-publico-el-ex-alcalde-de-yuncler_201361731918.html,Yuncler,PSOE,Toledo
204,205,2009,Condenados a 7 años de inhabilitación los ex alcaldes Francisco Lara (PSOE) y Antonio Trinidad (PP) por prevaricación.,http://www.granadaenlared.com/noticias/0911/27155043.htm,Monachil,PP-PSOE,Granada
205,206,2010,El fiscal pide 8 años de inhabilitación para el calcalde Adelino Santamaría por prevaricación.,http://www.elmundo.es/elmundo/2010/09/07/castellon/1283870471.html,Borriol,PP,Castellón
206,207,2011,"Un ourensano descubre censados en su casa a un excargo del PP y su familia 
El BNG denuncia 122 casos de empadronamientos irregulares en Xinzo",http://www.elpais.com/articulo/Galicia/ourensano/descubre/censados/casa/excargo/PP/familia/elpepuespgal/20110331elpgal_2/Tes,Xinzo de Limia,PP,Orense
207,208,2011,El eurodiputado del PP Pablo Zalba enmendó una ley al dictado de la presión de un 'lobby' falso,http://www.elmundo.es/elmundo/2011/03/27/union_europea/1301222359.html,Bruselas 2011,PP,"Bruselas, Parlamento Europeo"
208,209,2011,"Declaran como imputados por cohecho Francisco Cuenca (PSOE), Teresa Fernández del Moral (PP) y María Victoria Molina (PP).
Francisco Cuenta es candidato a la alcaldía de Granada en las próximas elecciones [48]",http://www.20minutos.es/noticia/991149/0/,Morelábor,PP-PSOE,Granada
209,210,2007,Detenido por cohecho el concejal José Arqueros. Actualmente en libertad con cargos y a la espera de juicio.,http://www.elpais.com/articulo/andalucia/Detenido/cohecho/concejal/PP/Adra/elpepuespand/20070920elpand_3/Tes,Adra,PP,Almería
210,211,2008,Imputado el alcalde José Fernández por prevaricación y delito contra la ordenación del territorio.,http://www.elcorreoweb.es/andalucia/036662/imputado/alcalde/sorbas/prevaricacion,Sorbas,PP,Almería
211,212,2007,"El alcalde Luis García Collado, declara como imputado por prevaricación y tráfico de influencias.
Cuenta con el apoyo de su partido y vuelve a presentarse a las elecciones pese a su imputación.",http://www.ideal.es/almeria/20071117/almeria/alcalde-huercal-overa-imputado-20071117.html,Huércal-Overa,PSOE,Almería
212,213,2011,"Citado a declarar como imputado por prevaricación el alcalde y senador Eugenio Gonzálvez, quien pese a ello se presenta en las próximas elecciones.",http://www.teleprensa.es/almeria-noticia-209532-El-senador-del-PP-y-alcalde-de-G26aacute3Bdor-declarar26aacute3B-el-12-de-abril-ante-el-Supremo-acusado-de-prevaricaci26oacute3Bn.html,Gádor,PP,Almería
213,214,2008,Imputado el alcalde Antonio Torres por prevaricación.,http://www.20minutos.es/noticia/589013/0/,Berja,PP,Almería
214,215,2009,"El ex alcalde Juan Francisco Sierra, imputado por coacciones y cohecho continuado.",http://www.laprovincia.es/secciones/noticia.jsp?pRef=2009021500_6_209474__Nacional-alcalde-Ohanes-imputado-cohecho-coaccion-declarara,Ohanes,PSOE,Almería
215,216,2009,Dimite el concejal Juan López Camacho tras serle imputado un delito de prevaricación.,http://www.ideal.es/almeria/20080508/almeria/dimite-concejal-lubrin-tras-20080508.html,Lubrín,PSOE,Almería
216,217,2010,"La Policía interviene cajas con información urbanística del Ayuntamiento de la Pobla 
La Policía Judicial registra el ayuntamiento de la Puebla de Farnals en busca de expedientes urbanísticos",http://www.elmundo.es/elmundo/2010/10/28/valencia/1288265652.html,La Pobla de Farnals,PP,Valencia
217,218,2006-2010,"Contratación ilegal de trabajadores municipales, a dedo (arqueólogo, TAG).  Tras varias sentencias condenatorias firmes del Tribunal Superior de Justicia han sido imputados por presunta prevaricación por el mismo TSJ el popular Alcalde de Valdepeñas Jesús Martín, el Diputado Regional Felipe Rodríguez y el Secretario Municipal Manuel Villajos, entre otros. Más información: [49]",http://noticias.estudio-arqueologia.es/2010/11/hola.html,Valdepeñas,PSOE,Castilla-La Mancha (Ciudad Real)
218,219,2009,"Caso facturas
 (08/11/2010) El Supremo anula el auto que archivó la causa contra Soler por el 'caso de las facturas'
 Reabren el “caso facturas” contra el vicesecretario del PSPV Alejandro Soler
 (19/06/2009) Archivan la causa contra el alcalde de Elche por el caso de las facturas
 Los ""errores"" del alcalde de Elche irritan a la dirección del PSPV",http://www.elmundo.es/elmundo/2010/11/08/alicante/1289217716.html,Elche,PSPV-PSOE,Comunitat Valenciana (Alicante)
219,220,2010,"Caso Hügel
 El Alcalde de Miraflores de la Sierra, Pablo Altozano, Juzgados de Colmenar Viejo / Fiscalía de Madrid, diligencias por presuntos delitos de prevaricación y contra la ordenación del territorio. Denunciado por el pueblo desde hace años a través de Internet.",http://www.foromiraflores.com/foro/foro-general/696200011,Miraflores de la Sierra,PP,Madrid
220,221,2010," Detenidos el ex alcalde de San Javier, José Hernández, el promotor Santiago Martínez Esparza y de otras dos personas, J.V.N.A. y A.J.S.R., por delitos contra la Hacienda Pública, cohecho, tráfico de influencias y malversación, entre otros. Fuente.",http://www.elmundo.es/elmundo/2010/06/29/espana/1277812380.html,San Javier,PP,Murcia
221,222,2011," IU y Manos Limpias se suman al PP y llevan al juez adjudicaciones del Consistorio villalbino Fuente. El ""túnel de los 40 millones"" sienta en el banquillo al exalcalde de Villalba Fuente. Más info y más enlaces Fuente",http://www.abc.es/20110316/madrid/abcp-cuatro-denuncias-acorralan-gestion-20110316.html,Collado Villalba,PSOE,Madrid
222,223,2010,"El alcalde Santi Vila, de CIU, usa presuntamente el coche oficial para asuntos que no son oficiales, por ejemplo para ir al Parlamento Catalán (es diputado allí) cuando como parlamentario tiene una asignación de 30000€ anuales para desplazamientos. Fuente 1, Fuente 2, en catalán y con más detalles.",http://www.noticias.com/el-psc-insta-al-alcalde-de-figueres-a-que-aclare-el-uso-del-coche-oficial.609435,Figueras,CIU,Girona
223,224,2006,"El arquitecto jefe del Ayuntamiento de Gijón, Ovidio Blanco, obtuvo un fabuloso pelotazo de 600.000 euros al revender una finca que se había revalorizado extraordinariamente porque él mismo había decidido incluirla en un plan urbanístico municipal.Fuente 1, Fuente 2.",http://blogs.elcomercio.es/elbirreteblanco/2011/1/26/corrupcion-asturias,Gijón,PSOE,Asturias
224,225,"2011 Marzo. Sin año concreto,al ser un estilo de vida. Fechado en Marzo de 2011","Ana Botella, Consejera de Medio Ambiente de Madrid utiliza varios coches oficiales y un séquito de funcionarios para ir a la peluquería y al Corte Inglés [50], Video: [[51]]",http://www.vanitatis.com/noticias/2011/botella-peluqueria-corte-ingles-coche-oficial-20110308-13288.html,Madrid,PP,Madrid
225,226,2011,"18 imputados por el caso Mercasevilla
Imputado el teniente alcalde de Sevilla por el caso ""Mercasevilla"" [52][53]",http://www.elmundo.es/elmundo/2009/12/13/andalucia_sevilla/1260700462.html,Sevilla,PSOE-IU,Sevilla
226,227,2010,"El fiscal acusa de prevaricación urbanística al alcalde Alfonso Puente Parga y los tres concejales de la Junta de Gobierno.
Alfonso Puente vuelve a ser candidato por el PP en 2011.",http://www.elpais.com/articulo/Galicia/fiscal/denuncia/Barreiros/urbanizaciones/legaliza/Xunta/elpepiautgal/20100313elpgal_2/Tes,Barreiros,PP,Lugo
227,228,2011,"Declara como imputado el alcalde Juan Manuel Rey, por desobedecer una resolución judicial que obligaba a derribar un edificio ilegal.
Vuelve a presentarse en las elecciones de 2011.",http://www.lavozdegalicia.es/galicia/2011/03/23/0003_201103G23P13991.htm,Caldas de Reis,PSOE,Pontevedra
228,229,2010,"El alcalde Jesús Vázquez Almuiña, junto con los concejales Ana Simons Sánchez y Manuel Vilar Márquez se enfrentan a una petición de 8 años de inhabilitación por prevaricación.
Vázquez Almuiña vuelve a ser candidato en las elecciones de 2011.",http://www.laopinioncoruna.es/galicia/2010/10/15/piden-8-anos-inhabilitacion-alcalde-baiona-prevaricacion/429141.html,Baiona,PP,Pontevedra
229,230,2011,"Begoña de Juan –concejala delegada de Modernización de la Administración y hermana de la alcaldesa– es condenada por abofetear en público en el balcón del ayuntamiento a un vecino de la localidad. Recurre la sentencia, que pierde, pero no dimite y vuelve a presentarse para las elecciones del 22 de Mayo de 2011 
[54]",http://basauri.tv/2010/05/sentencia-contra-begona-de-juan-por-el-conflicto-en-el-txupinazo/,Basauri,PSOE,Euskadi
230,231,2011,"El TSJ calificó de ""contaminado"" el tribunal calificador presidido por el Alcalde socialista Jesús Martín, que había nombrado como técnico experto del tribunal a Manuel Villajos, Secretario Municipal. Ese tribunal dio la plaza de funcionario al hijo del Interventor, sin que éste hubiera contestado a las preguntas de la oposición. El TSJ, con motivo de este caso, ha sentenciado que el Ayuntamiento ""tuvo el atrevimiento y la mala fe de intentar confundir a la Sala"". Por ello el Alcalde ha de hacer frente a su segunda imputación por presunta PREVARICACIÓN. Más información: [55]",http://www.dclm.es/news/145/ARTICLE/95003/2011-04-12.html,Valdepeñas,PSOE,Ciudad Real (Castilla-La Mancha)
231,232,2011 Marzo,"Jaume Matas, ex-presidente balear, será juzgado por cohecho por los empleos ficticios de su esposa  [56]",http://www.elpais.com/articulo/espana/Matas/sera/juzgado/cohecho/empleos/ficticios/esposa/elpepuesp/20110412elpepunac_39/Tes,Baleares,PP,Baleares
232,233,2010,"El Ayuntamiento compra un edificio en ruinas por 1.750.000 euros: un 63% más de su valor estimado de mercado y casi 10 veces más que el valor recogido en el Planeamiento urbanístico para ese elemento catalogado en una zona de expropiación. Los vendedores -que lo habían adquirido por 500.000 euros en 2003-, casualmente tienen relación con un asesor del teniente de alcalde del BNG que fue quien gestionó la compra [57]. Información completa en [58]",http://www.elpais.com/articulo/Galicia/Vigo/paga/700000/euros/valor/historico/edificio/elpepiautgal/20091211elpgal_12,Vigo,BNG,Pontevedra
233,234,2010,"El ex alcalde Raúl López Vaquero será juzgado por prevaricación y malversación de caudales públicos. Se entrenta a una petición de cuatro años de prisión y nueve de inhabilitación.
En las próximas elecciones, López Vaquero vuelve a ser candidato [59]",http://www.elpais.com/articulo/madrid/ex/alcalde/PP/Coslada/sera/juzgado/favorecer/Gines/Jimenez/elpepiespmad/20101022elpmad_6/Tes,Coslada,PP,Madrid
234,235,2010,"El ex alcalde y diputado regional José Ignacio Fernández Rubio, el concejal de urbanismo Miguel Rodríguez Bonilla y otros tres concejales, acusados por el Juzgado de Instrucción nº2 de Collado Villalba de un delito de prevaricación.
Rodríguez Bonilla es candidato a la alcaldía en las próximas elecciones.[60]",http://www.elpais.com/articulo/madrid/politica/madrilena/desfila/justicia/elpepiespmad/20101224elpmad_2/Tes,Guadarrama,PP,Madrid
